Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls_90;Ast_90;G+A_90;G-PK_90;G+A-PK_90;Matches
327;Gianluca Mancini;it ITA;DF;Roma;30-036;1996;35;35;2,969;33.0;4;2;6;4;0;0;9;0;0.12;0.06;0.18;0.12;0.18;Matches
328;Rolando Mandragora;it ITA;MF;Fiorentina;28-328;1997;34;30;2,421;26.9;7;3;10;6;1;1;7;0;0.26;0.11;0.37;0.22;0.33;Matches
329;Alessandro Marcandalli;it ITA;DF;Genoa;23-210;2002;31;28;2,515;27.9;0;2;2;0;0;0;4;0;0.00;0.07;0.07;0.00;0.07;Matches
330;Pablo Marí;es ESP;DF;Fiorentina;32-265;1993;11;9;808;9.0;0;0;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;Matches
331;Luca Marianucci;it ITA;DF;Torino;21-304;2004;10;6;575;6.4;0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
332;Luca Marianucci;it ITA;DF;Napoli;21-304;2004;2;1;119;1.3;0;1;1;0;0;0;0;0;0.00;0.76;0.76;0.00;0.76;Matches
333;Marius Marin;ro ROU;MF;Pisa;27-266;1998;23;18;1,281;14.2;0;0;0;0;0;0;7;0;0.00;0.00;0.00;0.00;0.00;Matches
334;João Mário Lopes;pt POR;DF,MF;Bologna;26-140;2000;10;10;735;8.2;1;0;1;1;0;0;1;0;0.12;0.00;0.12;0.12;0.12;Matches
335;João Mário Lopes;pt POR;MF;Juventus;26-140;2000;10;2;258;2.9;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
336;Guillermo Maripán;cl CHI;DF;Torino;32-017;1994;27;24;2,145;23.8;2;0;2;2;0;0;4;0;0.08;0.00;0.08;0.08;0.08;Matches
337;Aarón Martín;es ESP;MF,DF;Genoa;29-031;1997;32;25;2,097;23.3;1;5;6;1;0;1;2;0;0.04;0.21;0.26;0.04;0.26;Matches
338;Josep Martinez;es ESP;GK;Inter;27-361;1998;4;4;360;4.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
339;Lautaro Martínez;ar ARG;FW;Inter;28-274;1997;29;26;2,106;23.4;17;6;23;17;0;0;3;0;0.73;0.26;0.98;0.73;0.98;Matches
340;Adam Marušić;me MNE;DF;Lazio;33-218;1992;32;31;2,688;29.9;1;2;3;1;0;0;1;1;0.03;0.07;0.10;0.03;0.10;Matches
341;Adam Masina;ma MAR;DF;Torino;32-141;1994;5;2;235;2.6;0;1;1;0;0;0;0;0;0.00;0.38;0.38;0.00;0.38;Matches
342;Patrizio Masini;it ITA;MF;Genoa;25-116;2001;27;12;1,331;14.8;0;1;1;0;0;0;5;0;0.00;0.07;0.07;0.00;0.07;Matches
343;Nemanja Matić;rs SRB;MF;Sassuolo;37-295;1988;33;31;2,634;29.3;1;1;2;1;0;0;7;1;0.03;0.03;0.07;0.03;0.07;Matches
344;Luca Mazzitelli;it ITA;MF;Cagliari;30-189;1995;18;9;767;8.5;2;2;4;2;0;0;3;0;0.23;0.23;0.47;0.23;0.47;Matches
345;Pasquale Mazzocchi;it ITA;MF;Napoli;30-300;1995;15;2;299;3.3;0;1;1;0;0;0;0;1;0.00;0.30;0.30;0.00;0.30;Matches
346;Weston McKennie;us USA;MF;Juventus;27-268;1998;35;31;2,745;30.5;5;5;10;5;0;0;5;0;0.16;0.16;0.33;0.16;0.33;Matches
347;Scott McTominay;sct SCO;MF;Napoli;29-166;1996;32;30;2,701;30.0;10;3;13;10;0;1;1;0;0.33;0.10;0.43;0.33;0.43;Matches
348;Henrik Meister;dk DEN;FW;Pisa;22-187;2003;28;15;1,515;16.8;2;0;2;2;0;0;2;0;0.12;0.00;0.12;0.12;0.12;Matches
349;Paul Mendy;sn SEN;FW;Cagliari;19-142;2007;8;3;318;3.5;2;0;2;2;0;0;1;0;0.57;0.00;0.57;0.57;0.57;Matches
350;Alex Meret;it ITA;GK;Napoli;29-062;1997;10;10;900;10.0;0;1;1;0;0;0;1;0;0.00;0.10;0.10;0.00;0.10;Matches
